Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,51,907,8.58,0.0562,612.08,4.82,84.82,1.78,71.34
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1731,4122,38.19,0.4199,16699.37,109.37,4559.37,0.35,437.27
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,4,27,1.17,0.1481,139.98,1.0,2.0,1.17,119.64
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,24,130,6.84,0.18460000000000001,246.65,1.0,22.0,6.84,36.06
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,74,297,9.03,0.2492,550.65,2.25,97.25,4.01,60.98
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,2825,11016,474.23,0.2564,16119.43,128.17,4755.17,3.7,33.99
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,415,1784,63.37,0.23260000000000003,1654.58,14.79,818.79,4.29,26.11
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,154,2761,26.01,0.0558,224.83,5.47,106.47,4.75,8.64
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,556,8839,346.42,0.0629,1259.33,15.04,675.04,23.03,3.64
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,54,305,10.72,0.177,278.6,1.1,70.1,9.79,25.99
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,196,5867,151.45,0.0334,1697.56,13.57,230.57,11.16,11.21
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,153,1321,58.35,0.1158,425.54,2.17,100.17,26.92,7.29
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,28,128,1.79,0.2188,185.28,1.09,54.09,1.64,103.51
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,163,390,10.57,0.4179,288.35,1.0,123.0,10.57,27.28
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,131,464,43.01,0.2823,189.98,1.0,70.0,43.01,4.42
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,51,797,5.24,0.064,142.28,0.5,28.5,10.48,27.15
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,19,624,2.84,0.0304,158.03,1.0,32.0,2.84,55.64
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,84,378,3.54,0.22219999999999998,1760.76,9.26,182.26,0.38,497.39
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,28,263,10.95,0.1065,416.7,2.0,51.0,5.48,38.05
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,919,9404,358.96,0.0977,1771.46,8.67,637.67,41.42,4.93
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,52,684,21.22,0.076,240.51,3.0,51.0,7.08,11.33
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,39,518,72.99,0.0753,434.49,2.0,7.0,36.5,5.95
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,58,1569,24.26,0.037000000000000005,484.35,2.0,64.0,12.13,19.96
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,532,3634,184.47,0.1464,1715.67,12.18,651.18,15.15,9.3
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,34125,67165,751.56,0.5081,167407.62,1148.45,60804.45,0.65,222.75
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,30,64,2.49,0.46880000000000005,88.61,3.5,44.5,0.71,35.59
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,511,13545,285.29,0.0377,2733.03,43.31,605.31,6.59,9.58
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,4667,38475,1526.8,0.1213,3082.95,16.99,1778.99,89.86,2.02
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,113,465,8.08,0.243,336.2,1.0,147.0,8.08,41.61
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,54,900,10.93,0.06,96.49,4.75,86.75,2.3,8.83
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,86,1961,213.99,0.043899999999999995,189.92,1.0,23.0,213.99,0.89
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,36515,56633,1129.77,0.6448,203405.11,1269.04,62105.04,0.89,180.04
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,19412,32804,657.73,0.5918,188965.46,1214.54,37077.54,0.54,287.3
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1896,8674,532.29,0.2186,22169.91,137.72,4339.72,3.87,41.65
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,59,142,1.4,0.4155,231.73,1.83,126.83,0.76,165.52
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,254,3041,139.99,0.08349999999999999,159.98,1.0,47.0,139.99,1.14
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,376,1033,118.43,0.364,161.28,1.01,127.01,116.97,1.36
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,35,675,11.4,0.0519,273.26,1.14,83.14,9.98,23.97
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,41,337,37.43,0.1217,152.65,5.78,78.78,6.47,4.08
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1610,18317,547.32,0.08789999999999999,580.38,2.09,221.09,261.48,1.06
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,92,1722,71.38,0.053399999999999996,207.29,1.03,125.03,69.08,2.9
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,34,149,9.56,0.22820000000000001,201.8,1.0,68.0,9.56,21.11
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,78,2105,27.22,0.0371,227.59,1.2,85.2,22.68,8.36
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,263,2796,99.57,0.0941,667.61,3.27,177.27,30.43,6.7
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,127,1068,70.54,0.1189,732.23,3.17,123.17,22.28,10.38
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,390,2706,52.26,0.1441,261.75,1.0,489.0,52.26,5.01
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1054,15336,2124.78,0.0687,115.29,0.52,186.52,4086.13,0.05
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,392,3642,121.35,0.1076,14.9,1.0,276.0,121.35,0.12
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,738,8471,335.17,0.08710000000000001,766.31,5.04,331.04,66.44,2.29
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,133,1158,10.84,0.1149,362.48,2.0,196.0,5.42,33.44
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,311,4328,193.15,0.0719,304.81,1.58,168.58,122.04,1.58
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,14584,30353,276.93,0.4805,70897.77,475.68,23981.68,0.58,256.01
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,448,6941,77.3,0.0645,2077.34,13.03,561.03,5.93,26.87
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,203,501,20.84,0.4052,308.21,1.43,373.43,14.59,14.79
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,208,1593,41.72,0.1306,413.71,2.0,256.0,20.86,9.92
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,423,8603,292.96,0.0492,4026.93,21.66,440.66,13.53,13.75
