Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,8,45,2.39,0.1778,410.4,2.0,20.0,1.2,171.72
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,2988,28246,543.61,0.1058,11055.97,62.36,3635.36,8.72,20.34
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,142,4598,18.88,0.030899999999999997,481.4,2.57,197.57,7.36,25.5
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,35,268,2.9,0.1306,460.88,2.12,41.12,1.37,158.92
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,201,3238,353.69,0.0621,463.96,3.5,196.5,101.01,1.31
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,6397,10438,532.22,0.6129,62565.75,426.3,13648.3,1.25,117.56
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,229,1645,36.57,0.1392,501.57,3.5,214.5,10.45,13.72
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,428,3403,54.09,0.1258,1430.54,9.32,511.32,5.8,26.45
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,409,7388,53.23,0.0554,555.49,2.56,493.56,20.77,10.44
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1329,13023,1238.01,0.10210000000000001,4457.78,24.67,991.67,50.17,3.6
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,120,920,58.26,0.1304,415.17,1.79,215.79,32.47,7.13
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,9730,33602,915.68,0.2896,27920.72,163.32,13214.32,5.61,30.49
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,22,89,1.07,0.24719999999999998,557.2,3.63,15.63,0.29,520.75
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,9,50,7.31,0.18,258.11,1.98,19.98,3.69,35.31
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,110,1207,113.07,0.0911,1155.83,22.3,217.3,5.07,10.22
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,353,2271,53.43,0.15539999999999998,2521.95,15.24,724.24,3.51,47.2
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,148,401,112.48,0.3691,254.7,1.0,81.0,112.48,2.26
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,31,204,12.35,0.152,165.9,1.0,4.0,12.35,13.43
