Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,All conv.,Avg. CPC,Conversions,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized,anonymized_ad_group,USD,15,373,34.83,0.04019999999999999,49.59,5.16,2.32,1.16,30.03,1.42
anonymized_keyword,anonymized,anonymized_ad_group,USD,1,1,1.79,1.0,30.0,1.0,1.79,1.0,1.79,16.76
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,4,66,6.89,0.060599999999999994,90.0,3.0,1.72,3.0,2.3,13.06
anonymized_keyword,anonymized,anonymized_ad_group,USD,28,1290,39.44,0.0217,99.0,1.0,1.41,1.0,39.44,2.51
anonymized_keyword,anonymized,anonymized_ad_group,USD,19,662,19.89,0.0287,36.0,1.0,1.05,1.0,19.89,1.81
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,52,648,56.2,0.0802,787.72,3.0,1.08,3.0,18.73,14.02
anonymized_keyword,anonymized,anonymized_ad_group,USD,21,742,44.52,0.028300000000000002,90.0,3.0,2.12,3.0,14.24,2.11
anonymized_keyword,anonymized,anonymized_ad_group,USD,16,593,37.11,0.027000000000000003,30.0,1.0,2.32,1.0,37.11,0.81
anonymized_keyword,anonymized,anonymized_ad_group,USD,60,460,101.8,0.1304,2834.62,29.76,1.7,12.76,7.89,28.14
anonymized_keyword,anonymized,anonymized_ad_group,USD,33,234,28.48,0.141,36.0,1.0,0.86,1.0,28.48,1.26
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,87,561,87.18,0.1551,1605.44,9.08,1.0,7.05,12.37,18.42
anonymized_keyword,anonymized,anonymized_ad_group,USD,64,1723,70.25,0.0371,858.13,2.0,1.1,2.0,35.12,12.22
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,371,5949,559.33,0.062400000000000004,3319.57,33.82,1.51,20.05,27.89,5.93
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,134,7.13,0.052199999999999996,1317.82,5.33,1.02,2.33,3.06,184.83
anonymized_keyword,anonymized,anonymized_ad_group,USD,2,10,3.22,0.2,36.0,1.0,1.61,1.0,3.22,11.18
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,68,7.59,0.0735,30.0,1.0,1.52,1.0,7.59,3.95
anonymized_keyword,anonymized,anonymized_ad_group,USD,27,725,34.07,0.037200000000000004,30.0,1.0,1.26,1.0,34.07,0.88
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,47,10.41,0.0638,84.99,2.0,3.47,1.0,10.41,8.16
anonymized_keyword,anonymized,anonymized_ad_group,USD,39,811,52.03,0.0481,72.0,2.0,1.33,2.0,26.02,1.38
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,22,444,19.76,0.0495,629.94,1.0,0.9,1.0,19.76,31.88
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,29,49,25.76,0.5918,118.12,3.14,0.89,1.14,22.58,4.59
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,46,114,32.94,0.4035,577.53,6.45,0.72,3.36,9.8,17.53
anonymized_keyword,anonymized,anonymized_ad_group,USD,34,231,33.72,0.1472,180.98,5.5,0.99,1.5,21.85,5.52
anonymized_keyword,anonymized,anonymized_ad_group,USD,20,297,22.56,0.0673,36.0,1.0,1.13,1.0,22.56,1.6
anonymized_keyword,anonymized,anonymized_ad_group,USD,21,362,25.56,0.057999999999999996,125.99,3.0,1.22,2.0,12.78,4.93
anonymized_keyword,anonymized,anonymized_ad_group,USD,2,67,2.6,0.029900000000000003,173.55,1.0,1.3,1.0,2.6,66.75
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,103,4.17,0.048499999999999995,36.0,1.0,0.83,1.0,4.17,8.63
anonymized_keyword,anonymized,anonymized_ad_group,USD,303,6520,795.86,0.04650000000000001,1374.34,19.0,2.63,19.0,41.75,1.73
anonymized_keyword,anonymized,anonymized_ad_group,USD,10,47,9.3,0.21280000000000002,315.48,4.0,0.93,2.0,4.65,33.92
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,100,9.85,0.05,108.0,3.0,1.97,3.0,3.28,10.96
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,145,3419,161.05,0.0424,628.5,2.0,1.11,2.0,80.52,3.9
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,25,150,28.11,0.16670000000000001,108.13,2.0,1.12,1.0,28.11,3.85
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,14,2.33,0.2143,36.0,1.0,0.78,1.0,2.33,15.45
anonymized_keyword,anonymized,anonymized_ad_group,USD,18,78,25.7,0.23079999999999998,282.66,3.0,1.43,3.0,8.57,11.0
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,49,697,57.42,0.0703,647.8,3.57,1.17,1.5,38.28,11.28
anonymized_keyword,anonymized,anonymized_ad_group,USD,22,497,11.41,0.0443,229.22,3.0,0.52,3.0,3.8,20.09
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,79,1542,74.38,0.0512,142.07,1.51,0.94,1.51,49.37,1.91
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,122,1.48,0.0574,205.98,4.0,0.21,3.0,0.49,139.18
anonymized_keyword,anonymized,anonymized_ad_group,USD,8,16,6.32,0.5,125.99,3.0,0.79,2.0,3.16,19.94
anonymized_keyword,anonymized,anonymized_ad_group,USD,26,264,24.49,0.09849999999999999,114.99,7.0,0.94,2.0,12.24,4.7
anonymized_keyword,anonymized,anonymized_ad_group,USD,18,125,27.58,0.14400000000000002,99.0,2.75,1.53,2.75,10.03,3.59
anonymized_keyword,anonymized,anonymized_ad_group,USD,2418,30060,4564.51,0.08039999999999999,18231.97,245.6,1.89,118.6,38.34,4.01
anonymized_keyword,anonymized,anonymized_ad_group,USD,16,188,75.48,0.0851,549.9,2.0,4.72,2.0,37.74,7.29
anonymized_keyword,anonymized,anonymized_ad_group,USD,26,444,33.82,0.058600000000000006,480.84,4.0,1.3,4.0,8.46,14.22
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,41,346,64.2,0.1185,36.0,2.0,1.57,1.0,64.2,0.56
anonymized_keyword,anonymized,anonymized_ad_group,USD,23,158,30.13,0.1456,164.98,2.0,1.31,2.0,15.06,5.48
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,22,941,34.84,0.023399999999999997,30.0,2.0,1.58,2.0,17.42,0.86
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,20,11.47,0.2,84.99,1.0,2.87,1.0,11.47,7.41
anonymized_keyword,anonymized,anonymized_ad_group,USD,27,421,25.67,0.0641,36.0,1.0,0.95,1.0,25.67,1.4
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,13,429,15.1,0.030299999999999997,317.47,1.0,1.16,1.0,15.1,21.02
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1350,24935,1526.75,0.0541,8425.83,86.9,1.13,38.1,39.77,5.56
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,106,4.15,0.0472,99.0,1.0,0.83,1.0,4.15,23.86
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,543,16461,910.03,0.033,3549.62,30.0,1.68,18.4,49.36,3.91
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,31,4.48,0.129,36.0,1.0,1.12,1.0,4.48,8.04
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,8,167,13.49,0.0479,30.0,1.0,1.69,1.0,13.49,2.22
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,2,18,1.73,0.11109999999999999,518.0,2.0,0.86,2.0,0.86,299.42
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,12,217,22.02,0.0553,30.0,3.0,1.84,3.0,7.34,1.36
anonymized_keyword,anonymized,anonymized_ad_group,USD,42,375,77.8,0.11199999999999999,263.15,4.2,1.85,3.2,24.3,3.38
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,58,187,41.34,0.3102,1460.5,8.0,0.71,7.0,5.91,35.33
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,82,4.09,0.08539999999999999,149.04,1.0,0.58,1.0,4.09,36.44
