Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,All conv.,Avg. CPC,Conversions,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,101,986,140.54,0.1024,292.0,6.0,1.39,3.0,46.85,2.08
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,538,20352,688.08,0.0264,2288.33,27.83,1.28,10.33,66.48,3.33
anonymized_keyword,anonymized,anonymized_ad_group,USD,27,518,30.75,0.0521,919.08,2.0,1.14,1.0,30.75,29.89
anonymized_keyword,anonymized,anonymized_ad_group,USD,1,10,1.33,0.1,507.57,1.0,1.33,1.0,1.33,381.63
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1739,17298,1849.3,0.1005,12676.44,253.62,1.06,72.38,25.53,6.86
anonymized_keyword,anonymized,anonymized_ad_group,USD,41,504,43.24,0.08130000000000001,94.99,2.0,1.05,1.0,43.24,2.2
anonymized_keyword,anonymized,anonymized_ad_group,USD,16,484,8.17,0.0331,238.1,1.0,0.51,1.0,8.17,29.14
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,8,73,4.79,0.1096,203.59,0.86,0.6,0.86,5.59,42.5
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,66,338,548.7,0.1953,2347.55,11.98,8.31,8.98,61.07,4.28
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,25,368,192.52,0.0679,787.45,4.4,7.7,3.4,56.65,4.09
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,10,78,9.73,0.1282,198.99,2.0,0.97,2.0,4.86,20.45
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,17,126,11.16,0.1349,296.2,1.0,0.66,1.0,11.16,26.54
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,7,38,77.99,0.18420000000000003,981.69,4.0,11.14,3.0,26.0,12.59
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,19,104,207.12,0.1827,89.99,1.0,10.9,1.0,207.12,0.43
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,28,899,38.5,0.0311,317.43,1.0,1.38,1.0,38.5,8.24
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,799,10117,1000.29,0.079,1221.99,30.7,1.25,8.42,118.69,1.22
anonymized_keyword,anonymized,anonymized_ad_group,USD,14,275,13.77,0.0509,198.21,1.0,0.98,1.0,13.77,14.39
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,22,242,24.33,0.0909,300.06,1.48,1.11,1.0,24.33,12.33
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,55,1202,71.09,0.0458,84.99,3.0,1.29,1.0,71.09,1.2
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,4,85,16.83,0.0471,262.49,2.0,4.21,1.0,16.83,15.6
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,58,128,225.05,0.4531,1766.7,9.37,3.88,6.33,35.53,7.85
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,108,2.44,0.0463,476.01,1.0,0.49,1.0,2.44,195.09
anonymized_keyword,anonymized,anonymized_ad_group,USD,27,846,32.05,0.0319,733.38,1.0,1.19,1.0,32.05,22.88
anonymized_keyword,anonymized,anonymized_ad_group,USD,29,368,35.18,0.0788,94.99,2.0,1.21,1.0,35.18,2.7
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,25,170,264.14,0.1471,977.9,5.0,10.57,3.0,88.05,3.7
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,22,235,12.72,0.09359999999999999,761.2,2.0,0.58,2.0,6.36,59.84
anonymized_keyword,anonymized,anonymized_ad_group,USD,12,121,13.78,0.0992,94.99,1.0,1.15,1.0,13.78,6.89
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,11,62,135.53,0.17739999999999997,754.41,3.0,12.32,2.0,67.76,5.57
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,13,119,40.76,0.1092,77.86,1.5,3.14,1.0,40.76,1.91
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,20,135,10.29,0.1481,89.99,1.0,0.51,1.0,10.29,8.75
