Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,311,7183,53.07,0.0433,2148.42,10.26,340.71,5.17,40.48
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,89,1514,10.16,0.0588,213.06,6.08,144.58,1.67,20.97
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,24,167,6.05,0.1437,17.9,1.0,9.0,6.05,2.96
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,26,51,4.88,0.5097999999999999,228.95,1.5,40.0,3.25,46.92
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,20626,67849,1655.89,0.304,80037.99,439.85,24143.72,3.76,48.34
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,13,360,2.2,0.0361,144.08,2.5,24.5,0.88,65.49
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,87,213,8.87,0.40850000000000003,294.4,1.0,136.0,8.87,33.19
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,78,220,6.26,0.35450000000000004,529.04,3.67,114.67,1.71,84.51
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,28667,61375,806.87,0.4671,259073.09,1591.83,49702.79,0.51,321.08
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,359,2477,42.73,0.1449,1640.49,19.83,369.33,2.15,38.39
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,209,2628,34.35,0.0795,550.43,4.17,151.65,8.24,16.02
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,4806,36480,2248.35,0.1317,1750.27,10.55,1999.55,213.16,0.78
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,831,3922,106.5,0.2119,4817.99,20.54,1172.94,5.18,45.24
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,561,774,19.22,0.7248,3225.12,18.96,938.96,1.01,167.8
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,160,422,2.36,0.3791,414.42,1.7,219.77,1.39,175.6
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1172,4914,108.29,0.23850000000000002,2956.08,19.58,955.88,5.53,27.3
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,112,2342,85.98,0.0478,255.2,1.26,93.26,68.12,2.97
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,79,279,2.5,0.2832,163.92,0.83,119.03,3.0,65.57
